id,sciName (Clements/eBird/ML),comNameEn (Clements/eBird/ML),code (Clements/eBird/ML),sciName (IOC),comNameEn (IOC),comNameDe (IOC/DOG),sciName (GBIF),class (GBIF),order (GBIF),sciNameSynonyms
1,Abavorana luctuosa,,,,,,Abavorana luctuosa,Amphibia,Anura,"['Abavorana luctuosa', 'Hylarana luctuosa']"
3,Abeillia abeillei,Emerald-chinned Hummingbird,emchum1,Abeillia abeillei,Emerald-chinned Hummingbird,Smaragdkehlkolibri,Abeillia abeillei,Aves,Apodiformes,['Abeillia abeillei']
4,Abies balsamea,,,,,,,,,['Abies balsamea']
5,Abroscopus albogularis,Rufous-faced Warbler,rufwar1,Abroscopus albogularis,Rufous-faced Warbler,Rostwangen-Dickichtsänger,Abroscopus albogularis,Aves,Passeriformes,['Abroscopus albogularis']
6,Abroscopus schisticeps,Black-faced Warbler,blfwar1,Abroscopus schisticeps,Black-faced Warbler,Schieferkopf-Dickichtsänger,Abroscopus schisticeps,Aves,Passeriformes,['Abroscopus schisticeps']
7,Abroscopus superciliaris,Yellow-bellied Warbler,yebwar1,Abroscopus superciliaris,Yellow-bellied Warbler,Bambusdickichtsänger,Abroscopus superciliaris,Aves,Passeriformes,['Abroscopus superciliaris']
8,Abudefduf saxatilis,Damsel fish,t-10950238,,,,Abudefduf saxatilis,,Perciformes,['Abudefduf saxatilis']
9,Aburria aburri,Wattled Guan,watgua1,Aburria aburri,Wattled Guan,Lappenguan,Aburria aburri,Aves,Galliformes,['Aburria aburri']
10,Acacia islana,,,,,,,,,['Acacia islana']
11,Acacia melanoxylon,,,,,,,,,['Acacia melanoxylon']
12,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,spchon1,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,Braunkehl-Honigfresser,Acanthagenys rufogularis,Aves,Passeriformes,['Acanthagenys rufogularis']
13,Acanthidops bairdi,Peg-billed Finch,pebfin1,Acanthidops bairdi,Peg-billed Finch,Vulkanammertangare,Acanthidops bairdi,Aves,Passeriformes,['Acanthidops bairdi']
14,Acanthinodera cumingii,,,,,,Acanthinodera cumingii,Insecta,Coleoptera,['Acanthinodera cumingii']
15,Acanthis cabaret,,,,,Alpenbirkenzeisig,Acanthis flammea,Aves,Passeriformes,"['Acanthis cabaret', 'Acanthis flammea']"
16,Acanthis flammea,Redpoll,redpol1,Acanthis flammea,Redpoll,Taigabirkenzeisig,Acanthis flammea,Aves,Passeriformes,"['Acanthis flammea', 'Carduelis flammea']"
18,Acanthis hornemanni,,,,,Polarbirkenzeisig,Acanthis hornemanni,Aves,Passeriformes,['Acanthis hornemanni']
19,Acanthisitta chloris,Rifleman,riflem1,Acanthisitta chloris,Rifleman,Grünstummelschwanz,Acanthisitta chloris,Aves,Passeriformes,['Acanthisitta chloris']
20,Acanthiza apicalis,Inland Thornbill,inltho1,Acanthiza apicalis,Inland Thornbill,Stelzschwanz-Dornschnabel,Acanthiza apicalis,Aves,Passeriformes,['Acanthiza apicalis']
21,Acanthiza chrysorrhoa,Yellow-rumped Thornbill,yertho1,Acanthiza chrysorrhoa,Yellow-rumped Thornbill,Gelbbürzel-Dornschnabel,Acanthiza chrysorrhoa,Aves,Passeriformes,['Acanthiza chrysorrhoa']
22,Acanthiza cinerea,Gray Thornbill,mouger1,Acanthiza cinerea,Grey Thornbill,Weißbürzel-Dornschnabel,Gerygone cinerea,Aves,Passeriformes,"['Acanthiza cinerea', 'Gerygone cinerea']"
23,Acanthiza ewingii,Tasmanian Thornbill,tastho1,Acanthiza ewingii,Tasmanian Thornbill,Tasmandornschnabel,Acanthiza ewingii,Aves,Passeriformes,['Acanthiza ewingii']
