idx,sci_name,com_name,species_code,class_name,common_name_ru,common_name_de,common_name_es,common_name_cs,common_name_fr,common_name_nl,common_name_pl,common_name_ja,common_name_pt,common_name_ca,common_name_zh-CN,common_name_bg,common_name_no,common_name_sv,common_name_da,common_name_sk,common_name_uk,common_name_tr,common_name_fi,common_name_sr,common_name_es_ES,common_name_es_MX,common_name_pt_PT,common_name_hr,common_name_es_EC,common_name_lt,common_name_fa,common_name_zh,common_name_cy
0,Abeillia abeillei,Emerald-chinned Hummingbird,emchum1,aves,Изумрудогорлый колибри,Smaragdkehlkolibri,Colibrí de Abeillé,kolibřík smaragdovohrdlý,Colibri d'Abeillé,Smaragdkeelkolibrie,zielaczek,コバシハチドリ,emerald-chinned hummingbird,colibrí d'Abeillé,翠颏蜂鸟,Смарагдовогушо колибри,smaragdstrupekolibri,smaragdstrupe,Smaragdstrube,kolibrík zelenobradý,Колібрі малахітовий,Abeille Kolibrisi,viherleukakolibri,Smaragdnobradi kolibri,Colibrí de Abeillé,Colibrí Pico Corto,Emerald-chinned hummingbird,kratkokljuni kolibrić,Colibrí de Abeillé,Abeilija,مگسمرغ زمردچانه,翠颏蜂鸟,Sïedn gên emrallt
1,Abispa ephippium,Australian hornet,498926,insecta,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet
2,Abroscopus albogularis,Rufous-faced Warbler,rufwar1,aves,Рыжещёкая комарница,Rostwangen-Dickichtsänger,Mosquitero Carirrufo,budníček rezavolící,Bouscarle à moustaches,Roodwangboszanger,skrytoczub rdzawolicy,コシジロムシクイ,rufous-faced warbler,abròscop cara-roig,棕脸鹟莺,Ръждиволик певец,rustmaskesanger,rostkindad cettia,Brunmasket Sanger,pradešan červenolíci,Війчик рудощокий,Kızıl Yüzlü Ötleğen,pikkulehväkerttu,Rumenolika grmuša,Mosquitero carirrufo,Mosquitero Carirrufo,Rufous-faced warbler,riđolica svilorepa,Mosquitero Carirrufo,Rudaveidė raštuotoji musinukė,سسک صورتحنایی,棕脸鹟莺,Gwybedog-delor gyddfwyn
3,Abroscopus schisticeps,Black-faced Warbler,blfwar1,aves,Чернолицая комарница,Schieferkopf-Dickichtsänger,Mosquitero Carinegro,budníček černolící,Bouscarle à face noire,Zwartmaskerboszanger,skrytoczub ciemnolicy,カオグロムシクイ,black-faced warbler,abròscop emmascarat,黑脸鹟莺,Чернолик певец,svartmaskesanger,svartkindad cettia,Sortmasket Sanger,pradešan čiernolíci,Війчик чорнощокий,Siyah Yüzlü Ötleğen,naamiolehväkerttu,Crnolika grmuša,Mosquitero carinegro,Mosquitero Carinegro,Black-faced warbler,crnolica svilorepa,Mosquitero Carinegro,Juodaveidė raštuotoji musinukė,سسک روسیاه,黑脸鹟莺,Gwybedog-delor wynebddu
4,Abroscopus superciliaris,Yellow-bellied Warbler,yebwar1,aves,Желтобрюхая комарница,Bambusdickichtsänger,Mosquitero Cejiblanco,budníček šedokorunkatý,Bouscarle à sourcils blancs,Bamboeboszanger,skrytoczub białobrewy,マミジロムシクイ,yellow-bellied warbler,abròscop cellablanc,黄腹鹟莺,Жълтокорем певец,hvitbrynsanger,gulbukig cettia,Gulbuget Sanger,pradešan bambusový,Війчик білобровий,Sarı Karınlı Ötleğen,bambulehväkerttu,Žutotrba grmuša,Mosquitero cejiblanco,Mosquitero Cejiblanco,Yellow-bellied warbler,žutotrba svilorepa,Mosquitero Cejiblanco,Geltonpilvė raštuotoji musinukė,سسک شکمزرد,黄腹鹟莺,Gwybedog-delor torfelyn
5,Aburria aburri,Wattled Guan,watgua1,aves,Серёжчатый гуан,Lappenguan,Pava Aburria,guan aburri,Pénélope aburri,Lelgoean,grdacz soplowaty,ニクダレシャクケイ,wattled guan,guan camagroc,肉垂冠雉,Голям черен гуан,gulflikhokko,flikguan,Lappepenelopehøne,morkovec lalôčkový,Абурі,Küpeli Guan,helttasaku,Resasti guan,Pava aburria,Pava Aburria,Wattled guan,plavokljuni guan,Wattled Guan,Aburija,شبخروش غبغبکی,肉垂冠雉,Gwân tagellog
6,Acanthacris ruficornis,Garden Locust,132429,insecta,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Tuinsprinkhaan,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust
7,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,spchon1,aves,Розовоклювый серёжкоух,Braunkehl-Honigfresser,Mielero Golicanelo,medosavka modrooká,Méliphage à bavette,Goudkeelhoningeter,kolcoliczek,ケミミミツスイ,spiny-cheeked honeyeater,menjamel galtaespinós,刺颊垂蜜鸟,Ръждивогуш медояд,rosennebbhonningeter,rosanäbbad honungsfågel,Grågumpet Honningæder,medárik hnedohrdlý,Медолюб-дзвіночок,Diken Yanaklı Balkuşu,mustapyrstömesikko,Oštrobrki medojed,Mielero golicanelo,Mielero Golicanelo,Spiny-cheeked honeyeater,ružičastokljuni medojed,Mielero Golicanelo,Spiny-cheeked Honeyeater,عسلخوار چانهخاردار,刺颊垂蜜鸟,Melysor barfog
8,Acanthidops bairdi,Peg-billed Finch,pebfin1,aves,Остроклювый овсяночник,Vulkanammertangare,Yal Costarricense,pěnkavka Bairdova,Bec-en-cheville gris,Wigsnavelgors,bambusozięb ostrodzioby,ハシナガシトド,peg-billed finch,frigil becfí,尖嘴雀鹀,Тънкоклюна чинкова танагра,spissnebbspurv,spetsnäbbad tangara,Spidsnæbbet Finke,pinkavka sivá,Шиферка гостродзьоба,Sivri Gagalı İspinoz,kiilanokkasirkku,Šiljokljuna zeba,Yal costarricense,Yal Costarricense,Peg-billed finch,klinastokljuni sjemenar,Yal Costarricense,Peg-billed Finch,سهره نوکمیخی,尖嘴雀鹀,Pila Baird
9,Acanthinodera cumingii,Acanthinodera Cummingi,556670,insecta,Acanthinodera Cummingi,Acanthinodera Cummingi,Madre de la culebra,Acanthinodera Cummingi,Acanthinodera cumingi,Acanthinodera cumingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera cumingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi
